rank,artist,spotify_id,listeners,daily_change_listeners,peak_listeners
3527,Spin Doctors,2PSiyldxmJze7xiqbz658m,"4,077,031","15,175","5,809,921"
3528,ciloqciliq,3zcke1TsWc6mZhzB1BCC9T,"4,076,873","-39,236","6,231,627"
3529,Nxxkz,5AEQFkU5i6WoB4OkHb32Eb,"4,076,610","-5,717","4,125,665"
3530,Bausa,13bDjug9N0pyv3ZUINjkDV,"4,072,528","11,595","6,657,503"
3531,HIM,74aLweE8FHHf4yN5TWv1GM,"4,072,333","16,071","4,072,333"
3532,Charles Aznavour,2hgP9Ap2tc10R5jrQaEpMT,"4,071,579","1,347","4,655,843"
3533,Sunanda Sharma,7AKO4PWJ6ToZVUfA5xmsIY,"4,070,310","-16,892","5,195,190"
3534,Connie Constance,4RB2kk5dmocmMiHFBlmOEt,"4,069,863","39,276","4,944,234"
3535,Maribou State,7zrkALJ9ayRjzysp4QYoEg,"4,067,955","-7,544","5,083,437"
3536,Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,"4,067,110","6,304","6,100,275"
3537,DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,"4,066,396","4,133","6,761,732"
3538,Leto,6HCBnyTBSLdb3TFn2ayulY,"4,066,132","-5,016","4,209,682"
3539,Jazeek,1E8mXBWN7AXZCOPYbOky4J,"4,064,349","12,330","4,970,204"
3540,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,"4,061,658","4,773","5,157,583"
3541,Marcos Villalobos,79BK7vrzlQtgNnCHvZ7aYi,"4,061,541","-16,743","6,295,350"
3542,Fanny Lu,6GRC8segVAr34gm6pjfSoQ,"4,061,316","-3,639","4,423,182"
3543,Surfaces,4ETSs924pXMzjIeD6E9b4u,"4,060,649","19,632","8,336,270"
3544,Los Mier,2B8mbONjmLnXk4wpqF5UPQ,"4,060,547","36,024","5,243,874"
3545,Mindless Self Indulgence,5R5MLOQbI4lb7GHYioPqoN,"4,060,402",982,"4,068,504"
3546,Tribalistas,4laQz4PaKeh2Hu6QL6evVD,"4,060,295","26,281","5,054,600"
3547,Bohemia,0SWOtgI95g7oVrP9halrmP,"4,058,444","-12,665","4,244,557"
3548,INTERWORLD,5hKGLu4Ik88FzWcTPhWNTN,"4,057,206","-25,985","10,809,092"
3549,Adriel Favela,0PrhwIWbqYFYyY2ZrkIWgI,"4,056,906","19,099","7,170,042"
3550,ACRAZE,4pnp4w9g30yLfVIAFnZMRd,"4,056,840",-543,"11,380,380"
3551,Naveen Madhav,3oVTCMgAvt1x7EogVtX40H,"4,054,616","-18,548","4,200,105"
3552,Magic System,6MvRVq0CtpQQlwnIiszV8F,"4,054,550","2,966","5,212,550"
3553,Chelsea Cutler,5JMLG56F1X5mFmWNmS0iAp,"4,053,948","-2,535","8,088,113"
3554,Luude,20cmhoGvN0eyzhmsHJH1Mg,"4,053,939","16,837","6,109,311"
3555,Scooter,0HlxL5hisLf59ETEPM3cUA,"4,053,166","1,714","4,932,097"
3556,Kasango,3jteNJj8zf2v4qYMGDXa8r,"4,051,972","30,790","4,051,972"
3557,Audereus,0K9tBiINdR6qP9SDDCxvGK,"4,051,437","-25,773","4,277,110"
3558,Peipper,4i2al9gevm5K5OlbjqzcJs,"4,046,758","-17,810","5,854,287"
3559,ThxSoMch,4MvZhE1iuzttcoyepkpfdF,"4,046,420","23,016","9,386,209"
3560,Xavier Wulf,3uo0ix4Y67XHVWBhXXIY1S,"4,045,904","6,715","5,727,884"
3561,ARTBAT,3BkRu2TGd2I1uBxZKddfg1,"4,045,277","18,835","5,152,280"
3562,MilleniumKid,6nJEMDVNcq7fduXgk7EdGG,"4,044,706","19,350","4,239,284"
3563,NEFFEX,3z97WMRi731dCvKklIf2X6,"4,043,895","-1,995","4,856,398"
3564,Saliva,5S6hjAxgxjsLylsTtMIimO,"4,041,135","5,576","4,180,908"
3565,Falak Shabbir,0kmtdziYTHrKtoHlGElunM,"4,040,102","-16,118","4,338,208"
3566,Uttam Singh,0AWYFpUfZxzxKUgN5k0GrQ,"4,038,674","-26,532","4,221,690"
3567,Nate Traveller,34qyuX5yO72yzL8Z4JclBc,"4,037,739","6,041","6,850,984"
3568,Labh Janjua,3DWbhNPz642SpTneSTHJv7,"4,037,497","-28,134","4,979,917"
3569,Kid Yugi,0EUR8jz8L936AEbV2Spkca,"4,037,207","-21,751","4,287,206"
3570,Nateman,14AlQdTUuzYESzQYKU6QIE,"4,036,585","-2,937","4,887,938"
3571,Gabriel Guedes de Almeida,5ETTRSAa5g5uIMNOgqnJPB,"4,036,120","7,304","4,153,130"
3572,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,"4,035,843","16,098","5,143,854"
3573,Sugar Ray,4uN3DsfENc7dp0OLO0FEIb,"4,033,687","26,693","5,943,453"
3574,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,"4,032,318","-3,784","4,309,876"
3575,Marisa Monte,0rSTXALHu0EKAawPLBdODH,"4,032,232","20,966","4,735,237"
3576,Bj̦rn Skifs,1Ek3VdZ8EPmcvgRIqnHlrF,"4,032,225","13,618","5,970,638"
